invK,Mg,Wpg,W
0.003533569,150,0.000312667,0.0469
0.003472222,150,0.00038525,0.0577875
0.003412969,150,0.000413167,0.061975
0.003355705,150,0.000446667,0.067
0.00330033,150,0.000798417,0.1197625
0.003533569,156,0.0002345,0.036582
0.003533569,100,7.82E-05,0.007816667
0.003412969,100,0.000256833,0.025683333
0.00330033,100,0.000413167,0.041316667
0.003533569,100,6.14E-05,0.006141667
0.003508772,100,0.0001675,0.01675
0.003412969,80,0.000195417,0.015633333
0.003412969,100,0.00011725,0.011725
0.003412969,110,0.000307083,0.033779167
0.00330033,100,0.000279167,0.027916667
0.003278689,100,0.000580667,0.058066667
0.003533569,10,0.000312667,0.003126667
0.003533569,15,0.000312667,0.00469
0.003472222,10,0.000558333,0.005583333
0.003472222,15,0.000530417,0.00795625
0.003412969,10,0.000809583,0.008095833
0.003412969,15,0.0008375,0.0125625
0.003597122,50,0.000156333,0.007816667
0.003533569,50,0.0002345,0.011725
0.003472222,50,0.000279167,0.013958333
0.003472222,100,0.000323833,0.032383333
0.003412969,50,0.000469,0.02345
0.003367003,50,0.000764917,0.038245833
0.003597122,100,0.000223333,0.022333333
0.003472222,80,0.000335,0.0268
0.003472222,100,0.0004355,0.04355
0.003597122,241,0.000161917,0.039021917
0.003533569,241,0.000212167,0.051132167
0.003472222,241,0.0002345,0.0565145
0.003412969,241,0.0003685,0.0888085
0.003355705,241,0.000469,0.113029
0.003436426,25,0.000893333,0.022333333
0.003533569,100,0.000307083,0.030708333
0.003472222,100,0.00041875,0.041875
0.003412969,100,0.000575083,0.057508333
0.003472222,3.38,0.000911758,0.003081743
0.003472222,8.47,0.000436058,0.003693414
0.003472222,19.1,0.000503449,0.009615879
0.003533569,32.9,0.00023785,0.007825265
0.003597122,36.7,0.000162531,0.005964882
0.003355705,52.2,0.000776977,0.040558182
0.003472222,55.2,0.000281456,0.015536362
0.003412969,62.6,0.0004757,0.02977882
0.003472222,100,0.000329026,0.032902583
0.003527337,264,0.00033299,0.08790936
0.003472222,746,0.000281456,0.209966052
0.003472222,1432,0.000174423,0.249774213
0.003533569,10,0.000451915,0.00451915
0.003472222,10,0.000566876,0.005668758
0.003412969,10,0.000820583,0.008205825
0.00330033,106,0.000416238,0.044121175
0.003246753,134,0.000463808,0.062150205
0.003412969,146,0.00019028,0.02778088
0.003533569,174,6.74E-05,0.011726005
0.003412969,315,0.000214065,0.067430475
0.003361345,561,0.000257671,0.144553338
0.003361345,561,0.000277492,0.155672825
0.003361345,561,0.000293348,0.164568415
0.003361345,561,0.000301277,0.16901621
0.003361345,561,0.000313169,0.175687903
0.003361345,561,0.000340918,0.191255185
0.003361345,561,0.000368668,0.206822468
0.003361345,561,0.000372632,0.209046365
0.003350084,598,0.000301277,0.180163447
0.003472222,1746,0.000253707,0.44297184
0.003472222,1905,0.000186316,0.354931663
0.003472222,1960,0.000229922,0.450646467
0.003355705,118,0.000400381,0.047244938
0.003355705,118,0.000408309,0.048180482
0.003355705,118,0.000420202,0.049583797
0.003355705,118,0.000424166,0.050051568
0.003472222,178,0.000071355,0.01270119
0.003412969,350,0.000269563,0.094347167
0.003355705,350,0.000408309,0.142908208
